date,weekday,home_team,home_score,away_team,away_score,attendance,overtime,remarks
1993-11-05T00:00:00,Friday,Atlanta Hawks,116,Indiana Pacers,110,12032.0,,
1993-11-05T00:00:00,Friday,Utah Jazz,102,Dallas Mavericks,86,12032.0,,
1993-11-05T00:00:00,Friday,Sacramento Kings,109,Denver Nuggets,100,12032.0,,
1993-11-05T00:00:00,Friday,Philadelphia 76ers,94,Washington Bullets,82,12032.0,,
1993-11-05T00:00:00,Friday,Miami Heat,96,Orlando Magic,116,12032.0,,
1993-11-05T00:00:00,Friday,Los Angeles Lakers,116,Phoenix Suns,108,12032.0,,
1993-11-05T00:00:00,Friday,San Antonio Spurs,91,Golden State Warriors,85,12032.0,,
1993-11-05T00:00:00,Friday,Houston Rockets,110,New Jersey Nets,88,12032.0,,
1993-11-05T00:00:00,Friday,Detroit Pistons,104,Minnesota Timberwolves,99,12032.0,,
1993-11-05T00:00:00,Friday,Cleveland Cavaliers,91,Milwaukee Bucks,94,12032.0,,
1993-11-05T00:00:00,Friday,Charlotte Hornets,123,Chicago Bulls,124,12032.0,OT,
1993-11-05T00:00:00,Friday,Boston Celtics,108,New York Knicks,111,12032.0,,
1993-11-05T00:00:00,Friday,Los Angeles Clippers,97,Portland Trail Blazers,95,12032.0,,
1993-11-06T00:00:00,Saturday,Chicago Bulls,71,Miami Heat,95,12032.0,,
1993-11-06T00:00:00,Saturday,Dallas Mavericks,89,Golden State Warriors,93,12032.0,,
1993-11-06T00:00:00,Saturday,Indiana Pacers,107,Detroit Pistons,113,12032.0,,
1993-11-06T00:00:00,Saturday,Milwaukee Bucks,103,Charlotte Hornets,120,12032.0,,
1993-11-06T00:00:00,Saturday,Minnesota Timberwolves,95,Utah Jazz,105,12032.0,,
1993-11-06T00:00:00,Saturday,Orlando Magic,114,Philadelphia 76ers,89,12032.0,,
1993-11-06T00:00:00,Saturday,Seattle SuperSonics,129,Los Angeles Lakers,101,12032.0,,
1993-11-06T00:00:00,Saturday,Washington Bullets,88,Boston Celtics,100,12032.0,,
1993-11-07T00:00:00,Sunday,San Antonio Spurs,73,New Jersey Nets,99,12032.0,,
1993-11-07T00:00:00,Sunday,Portland Trail Blazers,92,Houston Rockets,106,12032.0,,
1993-11-07T00:00:00,Sunday,Phoenix Suns,132,Sacramento Kings,110,12032.0,,
1993-11-07T00:00:00,Sunday,Denver Nuggets,99,Los Angeles Clippers,97,12032.0,,
1993-11-07T00:00:00,Sunday,Cleveland Cavaliers,107,New York Knicks,115,12032.0,OT,
1993-11-08T00:00:00,Monday,Boston Celtics,108,Milwaukee Bucks,100,12032.0,,
1993-11-08T00:00:00,Monday,Chicago Bulls,106,Atlanta Hawks,80,12032.0,,
1993-11-08T00:00:00,Monday,Utah Jazz,100,Seattle SuperSonics,101,12032.0,,
1993-11-09T00:00:00,Tuesday,Seattle SuperSonics,118,Denver Nuggets,86,12032.0,,
1993-11-09T00:00:00,Tuesday,San Antonio Spurs,110,Minnesota Timberwolves,95,12032.0,,
1993-11-09T00:00:00,Tuesday,Orlando Magic,104,Indiana Pacers,98,12032.0,,
1993-11-09T00:00:00,Tuesday,Los Angeles Lakers,102,Portland Trail Blazers,109,12032.0,,
1993-11-09T00:00:00,Tuesday,New York Knicks,95,Philadelphia 76ers,86,12032.0,,
1993-11-09T00:00:00,Tuesday,Golden State Warriors,93,Houston Rockets,102,12032.0,,
1993-11-09T00:00:00,Tuesday,Detroit Pistons,112,Washington Bullets,118,12032.0,,
1993-11-09T00:00:00,Tuesday,Dallas Mavericks,80,New Jersey Nets,86,12032.0,,
1993-11-09T00:00:00,Tuesday,Cleveland Cavaliers,113,Charlotte Hornets,108,12032.0,,
1993-11-09T00:00:00,Tuesday,Los Angeles Clippers,99,Phoenix Suns,114,12032.0,,
1993-11-10T00:00:00,Wednesday,Milwaukee Bucks,90,Chicago Bulls,91,12032.0,,
1993-11-10T00:00:00,Wednesday,Philadelphia 76ers,89,Boston Celtics,91,12032.0,,
1993-11-10T00:00:00,Wednesday,Phoenix Suns,101,San Antonio Spurs,93,12032.0,,
1993-11-10T00:00:00,Wednesday,Sacramento Kings,112,Los Angeles Lakers,101,12032.0,,
1993-11-10T00:00:00,Wednesday,Utah Jazz,91,Atlanta Hawks,88,12032.0,,
1993-11-10T00:00:00,Wednesday,Washington Bullets,84,New York Knicks,92,12032.0,,
1993-11-11T00:00:00,Thursday,New Jersey Nets,105,Indiana Pacers,108,12032.0,OT,
1993-11-11T00:00:00,Thursday,Seattle SuperSonics,115,Cleveland Cavaliers,102,12032.0,,
1993-11-11T00:00:00,Thursday,Miami Heat,116,Milwaukee Bucks,103,12032.0,,
1993-11-11T00:00:00,Thursday,Los Angeles Clippers,111,Detroit Pistons,99,12032.0,,
1993-11-11T00:00:00,Thursday,Houston Rockets,107,Minnesota Timberwolves,99,12032.0,,
1993-11-11T00:00:00,Thursday,Charlotte Hornets,120,Orlando Magic,87,12032.0,,
1993-11-12T00:00:00,Friday,Utah Jazz,109,Detroit Pistons,89,12032.0,,
1993-11-12T00:00:00,Friday,Sacramento Kings,93,San Antonio Spurs,91,12032.0,,
